N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,14:56:27.796,37103,40985,43885,36747,38534,957,994,958,2179,986,1768,1459,1430,1495,1529,1434,517,494,479,438,459,463,428,442,40.0
N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
125,15:05:57.139,37106,41622,43875,37182,38643,518,491,480,440,464,462,425,447,41.0
126,15:06:01.459,37074,41467,43891,37070,38689,518,495,476,439,462,464,424,448,41.0
127,15:06:05.683,37101,41549,43927,37093,38756,514,494,478,438,460,467,424,448,41.0
128,15:06:09.959,37106,41372,43983,37113,38719,518,491,478,440,463,465,426,443,41.0
129,15:06:14.178,37014,41509,43891,37156,38754,515,492,479,440,463,465,426,445,41.0
130,15:06:18.558,37149,41412,43842,37117,38541,516,494,477,440,460,465,424,448,41.0
131,15:06:25.959,36914,41466,43721,37117,38402,518,493,476,442,460,466,425,444,41.0
132,15:06:30.299,37069,41462,43860,37077,38718,517,492,476,438,461,465,428,447,41.0
133,15:06:34.718,37217,41522,44016,37205,38466,515,493,479,437,460,463,429,445,41.0
134,15:06:39.079,37011,41488,44001,37092,38583,517,495,478,441,462,463,424,444,41.0
135,15:06:43.406,37215,41473,44065,37114,38737,518,496,479,439,462,464,425,446,41.0
136,15:06:47.801,37145,41427,44023,37250,38716,515,496,477,440,463,463,426,447,41.0
137,15:06:52.269,37233,41428,43848,37108,38702,518,495,478,443,463,463,426,443,41.0
138,15:06:56.594,37173,41461,43918,37019,38634,514,493,477,440,459,466,423,445,41.0
139,15:07:01.170,37225,41425,43849,37192,38668,514,493,478,440,460,464,425,443,41.0
140,15:07:06.047,37249,41351,44073,37072,38611,516,494,479,440,461,465,428,444,41.0
141,15:07:13.149,36964,41489,43993,37154,38541,518,495,480,445,460,466,428,446,41.0
142,15:07:17.522,37107,41451,44018,37139,38779,515,496,481,440,464,465,424,443,41.0
143,15:07:21.904,36924,41549,43976,37039,38661,515,493,480,439,464,462,425,444,41.0
144,15:07:26.704,37191,41549,44004,37069,38539,515,493,477,442,463,464,425,447,41.0
145,15:07:31.439,36972,41463,43994,37053,38784,517,496,479,440,462,462,423,447,41.0
146,15:07:35.998,37186,41677,43970,37204,38594,515,491,478,438,461,464,424,444,41.0
147,15:07:40.298,37033,41435,44176,37076,38645,518,493,477,437,460,462,427,442,41.0
148,15:07:44.643,37201,41598,44028,37178,38852,517,492,480,440,459,465,427,444,41.0
149,15:07:48.960,37241,41553,43952,37013,38779,518,494,477,438,461,465,430,444,41.0
150,15:07:53.239,37185,41425,43939,37048,38630,515,496,478,441,461,463,423,446,41.0
151,15:08:00.166,37133,41409,43883,37119,38502,514,495,479,438,462,463,427,445,41.0
152,15:08:04.718,37045,41410,43824,37217,38677,515,495,480,439,462,465,428,445,41.0
153,15:08:09.377,37073,41348,44071,37131,38721,517,494,478,438,462,465,423,442,41.0
154,15:08:13.800,37172,41509,43875,37095,38627,514,493,479,437,461,466,425,447,41.0
155,15:08:18.239,37152,41601,43959,37185,38649,514,493,478,440,459,463,429,444,41.0
156,15:08:22.961,37147,41584,43921,36976,38673,515,494,477,439,462,465,424,446,41.0
157,15:08:27.324,37119,41394,43914,37118,38633,517,492,478,440,464,466,429,442,41.0
158,15:08:31.663,37166,41672,43905,37203,38523,518,495,479,440,461,464,430,446,41.0
159,15:08:36.075,37128,41524,43933,37128,38538,519,491,477,438,462,466,429,446,41.0
160,15:08:40.404,37275,41565,44025,37320,38569,516,493,479,440,460,461,422,446,41.0
161,15:08:47.385,37082,41405,43928,37185,38455,514,494,477,439,462,465,423,447,41.0
162,15:08:51.799,37069,41453,43964,37279,38524,515,493,480,441,462,463,428,446,41.0
163,15:08:56.180,37293,41493,44028,37043,38613,515,493,477,440,462,463,429,446,41.0
164,15:09:00.715,37154,41441,43978,37240,38472,517,491,476,441,460,467,427,446,41.0
165,15:09:05.287,37314,41541,43810,37076,38770,514,494,481,438,460,466,429,445,41.0
166,15:09:10.021,37107,41417,43852,37143,38628,516,495,478,440,462,462,429,446,41.0
167,15:09:15.350,37167,41564,43903,37267,38508,514,494,479,438,463,463,426,445,41.0
168,15:09:19.978,37166,41521,43950,37067,38501,515,496,478,439,461,461,426,447,41.0
169,15:09:24.340,37081,41551,44044,37036,38709,517,495,481,438,463,461,430,444,41.0
170,15:09:28.697,37175,41588,43974,37082,38589,515,495,480,441,461,465,426,446,41.0
171,15:09:35.717,37081,41647,43944,37145,38446,517,494,481,438,462,463,427,449,41.0
172,15:09:40.043,37157,41317,43855,37119,38634,515,494,477,440,458,462,424,445,41.0
173,15:09:44.341,37272,41503,43959,37206,38767,516,496,477,443,461,462,429,445,41.0
174,15:09:48.659,37250,41513,44147,37188,38723,514,496,478,440,462,466,424,450,41.0
175,15:09:53.063,37220,41545,44035,37030,38566,514,495,478,439,459,466,427,445,41.0
176,15:09:57.356,37263,41510,44002,37237,38810,515,494,479,438,461,464,427,445,41.0
177,15:10:01.740,37323,41566,43988,37137,38742,514,493,479,439,459,464,428,445,41.0
178,15:10:06.180,37241,41308,43976,37082,38682,515,495,478,441,460,463,429,448,41.0
179,15:10:10.621,37042,41438,44015,37051,38636,516,496,477,441,461,463,425,443,41.0
180,15:10:14.924,37195,41610,44087,37195,38640,515,495,481,439,459,462,425,444,41.0
181,15:10:21.942,37152,41631,43846,37281,38601,518,492,479,441,460,464,425,445,41.0
182,15:10:26.280,37213,41397,43775,37149,38707,516,493,480,438,460,463,426,448,41.0
183,15:10:30.619,37154,41483,43967,37080,38651,514,495,479,442,459,463,424,449,41.0
N_06-27-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
184,15:10:43.100,955,992,957,2178,986,1770,1462,1434,1494,1530,1433,518,494,479,440,461,464,427,446,41.0
185,15:10:47.545,956,992,959,2178,986,1770,1461,1432,1492,1526,1434,517,496,477,442,461,462,426,448,41.0
186,15:10:52.049,956,992,958,2179,984,1772,1462,1430,1494,1527,1435,517,496,479,440,460,463,424,444,41.0
187,15:10:56.500,956,992,957,2178,986,1771,1460,1434,1496,1528,1435,517,495,476,440,459,465,430,446,41.0
188,15:11:01.000,955,992,958,2177,986,1770,1463,1430,1493,1528,1433,514,493,477,439,461,466,425,447,41.0
189,15:11:05.438,956,992,958,2179,986,1773,1459,1428,1494,1530,1433,518,494,478,437,460,464,424,446,41.0
190,15:11:09.799,957,992,959,2178,987,47,1464,1433,1493,1527,1431,519,491,478,437,457,466,426,445,41.0
191,15:11:16.843,955,993,956,2178,986,42,1464,1430,1494,1528,1435,518,496,479,441,460,464,423,445,41.0
192,15:11:21.281,959,992,958,2177,988,1768,1462,1431,1495,1526,1435,517,492,480,441,461,461,426,444,41.0
193,15:11:25.702,956,993,960,2178,986,1771,1465,1432,1494,1527,1431,515,494,478,440,463,464,426,446,41.0
194,15:11:30.080,955,991,958,2178,986,1772,1459,1429,1495,1528,1432,517,491,477,441,461,464,427,447,41.0
195,15:11:34.526,956,992,957,2176,988,1768,1459,1432,1495,1528,1435,518,493,478,438,461,463,428,446,41.0
196,15:11:38.941,957,994,958,2179,985,1772,1457,1432,1493,1527,1436,516,492,477,438,461,462,427,445,41.0
