N_07-25-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
13,11:33:24.049,36285,37027,35244,35798,34542,1183,1073,975,971,972,1494,1550,1507,1613,1739,1545,472,494,470,491,484,475,464,419,35.0
14,11:33:28.028,36201,37008,35249,35825,34751,1184,1071,972,969,970,1494,1551,1504,1611,1735,1545,471,497,467,492,488,475,463,420,35.0
15,11:33:32.051,36100,36947,35230,36079,34671,1181,1074,974,971,969,1495,1553,1505,1612,1738,1542,472,497,467,492,486,475,463,421,35.0
16,11:33:36.089,36096,37046,35237,35856,34724,1184,1071,974,971,970,1495,1552,1505,1615,1737,1546,470,498,470,493,488,476,467,418,35.0
17,11:33:39.951,36095,36852,35217,35996,34727,1183,1071,975,970,971,1494,1553,1506,1612,1735,1548,473,497,469,490,489,474,463,453,35.0
18,11:33:43.790,36383,36959,35127,35877,34740,1183,1073,972,970,972,1495,1552,1506,1610,1735,1547,472,497,470,491,490,475,465,417,35.0
19,11:33:47.589,36266,36948,35119,35816,34704,1185,1072,976,969,971,1493,1555,1506,1612,1737,1544,473,497,469,489,488,473,466,420,35.0
20,11:33:51.529,36204,36877,35175,36328,34723,1182,1073,974,971,972,1494,1547,1504,1613,1734,1543,471,495,469,492,489,476,463,419,35.0
21,11:33:58.371,36037,36703,34970,36119,34373,1183,1071,975,970,972,1494,1552,1504,1610,1736,1543,470,497,470,489,485,475,461,423,35.0
22,11:34:02.228,35908,36994,35246,35764,34753,1183,1071,971,972,972,1494,1551,1506,1613,1734,1547,472,497,468,491,489,474,466,419,35.0
23,11:34:06.129,36218,36971,35186,35879,34690,1183,1073,973,971,972,1494,1551,1505,1612,1738,1545,473,498,468,495,488,474,462,419,35.0
24,11:34:10.209,36155,37037,35070,35992,34679,1183,1074,972,972,973,1496,1549,1504,1612,1737,1545,469,499,469,492,490,472,463,422,35.0
25,11:34:14.188,36234,37043,35298,35976,34696,1184,1074,974,970,972,1493,1554,1506,1613,1734,1548,473,498,470,488,487,473,464,418,35.0
26,11:34:18.528,36236,36966,35132,35934,34690,1184,1073,973,968,972,1492,1554,1506,1613,1739,1548,469,498,468,492,486,477,461,417,35.0
27,11:34:22.367,36323,37189,35289,36074,34660,1180,1073,971,971,973,1492,1552,1503,1613,1739,1548,473,495,470,492,485,474,462,420,35.0
28,11:34:26.629,36254,37090,35200,36074,34642,1183,1072,974,972,974,1492,1550,1503,1612,1738,1548,470,501,466,490,488,507,466,420,35.0
29,11:34:30.561,36284,36918,35226,36010,34653,1181,1071,975,968,973,1493,1550,1503,1614,1735,1547,471,497,468,490,487,475,466,420,35.0
30,11:34:34.551,36256,36993,35294,35935,34729,1183,1072,971,971,972,1492,1551,1506,1612,1736,1548,471,495,469,489,487,475,461,417,36.0
31,11:34:41.074,36183,36793,34966,35957,34553,1185,1073,974,972,972,1494,1550,1503,1615,1736,1544,473,498,469,492,487,474,465,420,36.0
32,11:34:45.132,36484,37059,35196,36022,34868,1182,1072,972,970,972,1492,1554,1504,1613,1735,1542,472,497,470,492,489,475,462,418,36.0
33,11:34:49.132,36228,36955,35276,36005,34873,1181,1075,972,970,972,1491,1551,1505,1613,1737,1544,474,499,468,491,485,476,462,417,36.0
34,11:34:52.991,36280,36910,35205,36018,34749,1181,1072,975,971,973,1493,1551,1506,1615,1738,1544,473,498,470,491,489,473,463,419,36.0
35,11:34:56.869,36180,37014,35241,36010,34866,1181,1072,972,970,972,1494,1552,1507,1613,1735,1543,472,495,469,491,486,472,464,418,36.0
36,11:35:00.786,36135,37132,35212,35933,34799,1183,1072,973,969,969,1494,1550,1505,1612,1737,1546,472,498,470,490,487,475,463,417,36.0
37,11:35:04.672,36292,37049,35231,36023,34625,1185,1072,975,972,972,1494,1552,1504,1615,1737,1545,473,497,466,491,487,473,464,421,36.0
38,11:35:08.430,36371,36978,35179,36014,34724,1182,1073,973,969,973,1496,1551,1507,1612,1738,1544,473,497,468,491,486,477,464,418,36.0
39,11:35:12.311,36328,37070,35128,36142,34862,1182,1073,974,972,970,1493,1550,1506,1612,1738,1545,473,497,466,490,486,475,461,419,36.0
40,11:35:16.290,36611,37243,35322,36043,34823,1182,1073,976,971,971,1493,1550,1505,1613,1737,1544,473,498,466,493,489,472,465,419,36.0
41,11:35:23.674,36334,37041,35113,36178,34559,1181,1071,975,970,972,1491,1549,1509,1615,1739,1544,472,497,470,488,486,476,463,418,36.0
42,11:35:28.089,36419,37190,35125,35912,34873,1185,1074,975,971,975,1493,1551,1505,1615,1735,1546,473,498,470,491,485,475,465,446,36.0
43,11:35:32.034,36613,37029,35156,36044,34953,1183,1073,976,971,972,1495,1549,1504,1612,1738,1544,469,497,468,490,489,476,463,450,36.0
44,11:35:36.051,36591,37124,35101,36089,34836,1180,1073,974,971,975,1495,1550,1504,1613,1737,1543,472,497,466,492,487,475,464,420,36.0
45,11:35:40.013,36520,36865,35186,36205,34852,1180,1074,973,971,974,1494,1551,1504,1612,1737,1545,473,494,469,493,489,471,462,417,36.0
46,11:35:44.102,36538,37056,35270,36118,34856,1182,1071,973,972,971,1494,1552,1503,1613,1739,1544,470,497,465,493,484,474,461,421,36.0
47,11:35:48.293,36554,37019,35160,36237,34877,1181,1073,975,971,972,1492,1551,1506,1612,1739,1541,469,499,467,491,488,475,464,421,36.0
48,11:35:52.674,36508,37238,35369,36137,35005,1183,1072,972,971,973,1493,1549,1508,1613,1738,1544,472,497,470,493,490,472,464,422,36.0
49,11:35:56.753,36599,37218,35143,36011,34965,1180,1071,974,970,972,1495,1550,1505,1614,1738,1546,472,497,466,490,488,476,466,419,36.0
50,11:36:01.355,36525,36916,35253,36111,34913,1183,1073,973,971,972,1494,1551,1507,1611,1737,1545,471,499,468,489,489,475,463,419,36.0
51,11:36:08.071,36474,36996,34899,36112,34501,1185,1071,975,970,973,1494,1551,1504,1613,1739,1541,472,499,469,492,486,473,460,417,36.0
52,11:36:12.067,36551,37087,35276,36143,34759,1183,1072,971,971,973,1494,1550,1505,1613,1737,1543,472,496,469,491,486,475,462,416,36.0
