N cycles,,VCM data,,,,lens data,,,,mirror data 
12,[1, '0FC5BCC940BFDAC22CBF40053205B205270510061F0333036F031C029102F703', 2, '99396039A43654386538DD0961098109F008DB09F5084309510968085A09FD09'],,,,,[1, '0301480104017901B50139011301CE00', 2, 'DC023A03D60265039D031003DF027302']
13,[1, 'E3C41AC962BF48C3EDBE40053205B205270510061F0337036E031D029002F403', 2, '8A39393914378A382038DD0962097F09F108DB09F308440952096A085B09FC09'],,,,,[1, '0701480100017A01B60137011101CF00', 2, 'DC023903D70264039B031003DF027302']
14,[1, 'DDC45AC939BFD8C232BF3F053105B30529050F062003340370031C029102F503', 2, '94394139E43680385F38DF0962098009F208DB09F2084409530968085B09FD09'],,,,,[1, '0501470100017901B40139011001CD00', 2, 'DB023903D50264039E031003E0027302']
15,[1, 'A2C48DC9ECBED2C241BF3F053105B40527050F061E0337036F031C029102F703', 2, '133952397E36DB38A938DF0961097F09F008DB09F4084309510969085809FE09'],,,,,[1, '0401470100017801B50137010F01CF00', 2, 'DC023B03D60266039E031003E0027102']
16,[1, 'EBC49AC95ABFB6C240BF3F053305B205290510061D03340371031D029002F503', 2, '95396D39E0367938C637DC0962097F09F008DB09F2084409510969085B09FE09'],,,,,[1, '0301480100017A01B40135011001CC00', 2, 'DB023903D60264039F031003DF027102']
17,[1, '88C5C7C942BFAAC2D6BE3E053305B20527051006200335036F031E029102F503', 2, '4C39F738853696387138DF0961098109F108DA09F408430953096B085909FE09'],,,,,[1, '05014A0100017801B50138010F01CD00', 2, 'DC023903D60268039B031103E0027002']
18,[1, '35C5B9C912BFC4C271BF3F053105B405270510061F03350371031D029102F503', 2, '81396C39F536FF376638DE0961097F09F208DC09F2084209510969085909FE09'],,,,,[1, '0301480102017901B50135011201CD00', 2, 'DC023903D50264039E031003E0027002']
19,[1, '0EC58DC970BF96C388BF3D053105B205280511061F0335036F031D029202F503', 2, '73399639DC361E38C437DD0961097F09F108DB09F2084409520968085909FE09'],,,,,[1, '0501480100017A01B40135011101CE00', 2, 'DC023903D60264039D031303E0027102']
20,[1, '90C5E1C929BFEEC24EBF3E053005B20527050F061F0337036F031D029102F703', 2, 'E4397D399E36C4375A38DD0961098009F108DC09F3084309530968085B09FC09'],,,,,[1, '06014A0100017B01B50136011201CD00', 2, 'DB023903D60264039D031003E1027202']
21,[1, 'C4C403C9F0BE98C224BF40053305B20526050F061F0334036F031D029302F703', 2, 'D0396539E7363E38D838DD0961098009F108DC09F3084509530968085A09FD09'],,,,,[1, '03014B0101017C01B70139011001CD00', 2, 'DB023903D60265039E031103E0027002']
22,[1, '42C50DCA37BFF3C2D1BE40053205B30526050F061F0335036F031C028F02F703', 2, '9B3940392F374F388338DD0961098009F208DD09F408440950096B085A09FE09'],,,,,[1, '0501480101017801B60135011001CD00', 2, 'DB023903D60264039D031203DF027402']
23,[1, '47C587C93ABF0DC377BF3E053105B20526050F06200334036E031D029102F503', 2, 'B139E838A9363C387838DD0961098009F208DB09F308430951096A085B09FD09'],,,,,[1, '0401470102017B01B60137011101CF00', 2, 'DB023903D50265039B031303E1027102']
