N_08-06-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,15:16:34.372,39740,38838,40571,39835,40690,1035,0,936,1131,1118,1536,1564,1530,1501,1584,1599,390,365,374,410,329,320,319,344,27.0
N_08-08-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
63,17:14:40.319,40504,39800,41278,40707,41629,1034,1960,935,1132,1113,1537,1562,1529,1503,1583,1598,31.0
64,17:14:42.580,40422,39658,41191,40601,41565,1034,1961,933,1132,1115,1536,1563,1534,1499,1585,1602,31.0
65,17:14:44.883,40534,39615,41269,40709,41712,1034,1960,935,1135,1115,1535,1562,1533,1501,1585,1601,31.0
66,17:14:47.135,40568,39487,41142,40671,41632,1036,1962,933,1134,1114,1533,1562,1531,1502,1582,1602,31.0
67,17:14:49.400,40514,39584,41120,40774,41494,1033,1964,935,1133,1116,1533,1562,1529,1502,1586,1600,31.0
68,17:14:51.588,40507,39718,41206,40745,41731,1033,1961,934,1132,1117,1535,1563,1531,1503,1584,1600,31.0
69,17:14:53.857,40473,39667,41220,40946,41575,1034,1960,935,1134,1118,1536,1562,1530,1502,1586,1601,31.0
70,17:14:56.138,40512,39708,41106,40950,41561,1035,1960,935,1132,1115,1534,1562,1532,1503,1583,1603,31.0
71,17:15:00.980,40367,39701,41049,40582,41606,1036,1960,935,1133,1116,1533,1562,1533,1501,1583,1600,31.0
72,17:15:03.221,40567,39776,41112,40796,41641,1035,1961,936,1133,1116,1534,1563,1532,1500,1585,1602,31.0
73,17:15:05.479,40542,39569,41041,40768,41634,1032,1961,935,1135,1113,1535,1562,1530,1499,1585,1600,31.0
74,17:15:07.767,40598,39625,41122,40796,41636,1035,1963,936,1132,1113,1532,1562,1531,1502,1583,1602,31.0
75,17:15:10.067,40402,39539,41196,40803,41568,1034,1964,934,1134,1115,1534,1562,1530,1501,1584,1600,31.0
76,17:15:12.358,40487,39713,41304,40763,41603,1034,1962,935,1136,1116,1534,1563,1531,1502,1584,1599,31.0
77,17:15:14.606,40607,39783,41107,40796,41580,1034,1960,935,1135,1116,1534,1561,1530,1502,1583,1600,31.0
78,17:15:16.877,40451,39717,41214,40799,41626,1034,1962,934,1136,1116,1534,1563,1531,1500,1585,1601,31.0
79,17:15:19.099,40430,39721,41168,40909,41523,1033,1961,934,1134,1117,1534,1563,1529,1501,1588,1603,31.0
80,17:15:21.337,40587,39737,41189,40878,41533,1034,1960,935,1133,1116,1533,1562,1531,1499,1585,1601,31.0
81,17:15:26.090,40588,39633,41214,40826,41544,1034,1962,935,1134,1114,1533,1563,1532,1502,1584,1603,32.0
82,17:15:28.353,40454,39605,41264,40728,41634,1035,1960,935,1133,1114,1533,1563,1533,1501,1584,1601,32.0
83,17:15:30.637,40537,39690,41039,40870,41763,1033,1960,935,1132,1116,1535,1561,1528,1502,1584,1603,32.0
84,17:15:32.860,40524,39768,41116,40804,41728,1034,1961,935,1133,1116,1534,1562,1531,1503,1584,1601,32.0
85,17:15:35.161,40571,39564,41154,40919,41447,1034,1959,936,1131,1115,1532,1562,1533,1501,1583,1600,32.0
86,17:15:37.440,40541,39559,41040,40765,41604,1033,1961,936,1134,1115,1534,1563,1532,1500,1584,1600,32.0
87,17:15:39.717,40564,39624,41214,40787,41506,1033,1964,934,1133,1116,1536,1562,1531,1502,1584,1602,32.0
88,17:15:41.978,40449,39584,41152,40729,41591,1034,1960,937,1131,1115,1534,1563,1533,1502,1583,1602,32.0
89,17:15:44.259,40534,39714,41185,40863,41667,1035,1960,935,1131,1115,1534,1564,1531,1501,1583,1600,32.0
90,17:15:46.516,40607,39536,41225,40549,41630,1034,1961,935,1135,1114,1533,1562,1531,1502,1584,1604,32.0
91,17:15:51.464,40476,39653,41182,40877,41650,1034,1961,935,1134,1116,1533,1562,1532,1502,1584,1600,32.0
92,17:15:53.762,40472,39527,41170,40820,41648,1034,1960,937,1133,1113,1535,1564,1531,1502,1585,1603,32.0
93,17:15:56.147,40538,39786,41190,40683,41672,1033,1961,936,1133,1116,1533,1561,1532,1500,1584,1601,32.0
94,17:15:58.378,40291,39742,41084,40846,41508,1033,1960,936,1131,1116,1535,1564,1532,1501,1584,1601,32.0
