N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,16:10:48.804,40812,40817,41552,41069,41748,900,898,899,901,898,1500,1497,1497,1503,1501,1497,513,445,423,530,417,400,469,474,42.0
2,16:10:52.685,40351,40436,41161,40811,41084,903,898,899,899,899,1500,1498,1500,1500,1502,1497,512,446,422,530,418,403,466,473,42.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,16:13:19.166,40772,40838,41395,40841,41605,902,897,901,901,898,1500,1497,1498,1500,1500,1497,515,445,421,528,418,402,470,471,42.0
2,16:13:23.003,40384,40342,41065,40677,41101,902,902,899,898,899,1498,1498,1500,1498,1500,1500,515,442,423,531,416,400,472,476,42.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
3,16:13:40.051,40909,40613,41508,40809,41821,902,901,900,901,899,1500,1497,1500,1499,1500,1499,512,445,423,528,418,401,471,473,42.0
4,16:13:43.785,40389,40543,41080,40716,41004,898,899,899,898,899,1501,1497,1500,1498,1502,1501,514,445,421,531,422,402,469,477,42.0
5,16:13:47.513,40157,40374,41090,40658,41102,900,898,899,899,899,1501,1496,1500,1499,1500,1500,515,444,420,529,417,402,471,476,42.0
6,16:13:51.338,40519,40385,41109,40729,41383,903,899,898,900,900,1501,1498,1498,1499,1501,1498,516,442,420,527,416,400,471,472,42.0
7,16:13:55.037,40273,40426,41099,40775,41200,902,898,899,897,899,1500,1500,1498,1500,1501,1497,515,444,421,531,420,398,469,475,42.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,16:23:54.155,40803,40857,41598,41139,41799,900,897,902,902,897,1498,1504,1501,1500,1501,1497,514,441,421,531,419,399,467,477,43.0
2,16:23:57.925,40477,40574,41166,40698,41207,903,897,899,897,899,1500,1502,1498,1500,1501,1499,517,445,420,532,418,399,470,476,43.0
