N_06-27-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
68,18:28:36.141,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
69,18:28:38.298,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
70,18:28:40.468,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
71,18:28:43.071,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
72,18:28:45.238,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
73,18:28:47.418,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
74,18:28:49.597,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
75,18:28:51.792,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
76,18:28:53.954,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
77,18:28:56.127,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
78,18:28:58.294,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
79,18:29:00.466,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
80,18:29:02.624,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
81,18:29:05.240,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
82,18:29:07.415,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
83,18:29:09.578,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
84,18:29:11.749,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
85,18:29:13.900,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
86,18:29:16.068,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
87,18:29:18.244,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
88,18:29:20.416,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
89,18:29:22.578,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
90,18:29:24.735,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
91,18:29:27.328,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
92,18:29:29.507,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
93,18:29:31.677,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
94,18:29:33.840,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
95,18:29:36.001,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
96,18:29:38.164,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
97,18:29:40.335,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
98,18:29:42.503,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
99,18:29:44.669,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
100,18:29:46.830,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
101,18:29:49.439,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
102,18:29:51.597,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
